Region/Constituency,Party/Candidate,Seats/Votes
Tamil Nadu,DMK,22
Tamil Nadu,INC,9
Tamil Nadu,VCK,1
Tamil Nadu,CPI,1
Tamil Nadu,CPI(M),1
Tamil Nadu,MDMK,1
Tamil Nadu,IUML,1
Delhi,BJP,7
Punjab,INC,7
Punjab,AAP,3
Punjab,SAD,1
Punjab,IND,2
Bihar,JD(U),12
Bihar,BJP,12
Bihar,LJPRV,5
Bihar,RJD,4
Bihar,INC,3
Bihar,CPI(ML)(L),2
Bihar,HAMS,1
Bihar,IND,1
Kerala,INC,14
Kerala,IUML,2
Kerala,BJP,1
Kerala,CPI(M),1
Kerala,KEC,1
Kerala,RSP,1
Thiruvananthapuram,Shashi Tharoor (INC),358155
Thiruvananthapuram,Rajeev Chandrasekhar (BJP),342078
Thrissur,Suresh Gopi (BJP),412338
Thrissur,Adv. V. S. Sunil Kumar (CPI),337652
Thrissur,K. Muraleedharan (INC),328124
Akola,Anup Sanjay Dhotre (BJP),457030
Akola,Abhay Kashinath Patil (INC),416404
Akola,Ambedkar Prakash Yashwant (VBA),276747
Haryana,INC,5
Haryana,BJP,5
